State,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92,R93,R94,R95,R96,R97,R98,R99,R100,R101,R102,R103,R104,R105,R106,R107,R108,R109,R110,R111,R112,R113,R114,R115,R116,R117
Tamil Nadu,496,426,193,0,1133,46,0,414,56,0,137,39,0,398,50,0,5358,1126,0,256,66,0,628,51,0,166,43,0,203,48,0,308,32,0,895,166,0,2901,503,0,13,10753,256,415,649,494,8,7,101,58,205,578,518,1148,53,11768,2927,495,13629,1561,10498,337,126,463,98,52,5,67,0,236,3308,12471,1908,811,13357,751,547,274,261,63421,2400,5610,818,38042,2269,3721,2211,403,777,1087,700,1422,2600,7973,9593,9955,11902,13927,7158,2685,4057,5587,1064,30053.59,1.34,0.25,5658,5293,5824,5303,5711,5915,5719,5936,5777,5516,5036,5562
Telangana,725,300,49,0,531,108,0,132,23,0,323,61,0,175,48,0,1063,118,0,207,68,0,653,174,0,255,62,0,292,39,0,324,88,0,1413,105,0,475,24,0,18,3622,148,139,355,290,120,56,281,139,60,232,212,1252,17,3333,2390,1183,6253,653,2573,113,82,171,25,14,9,15,0,80,3824,4935,1414,557,4935,1741,76,54,100,16650,5702,459,42,15268.12,569,1224,418,146,186,367,204,691,3101,2078,2468,2527,3107,3304,2424,1753,2417,968,380,12449.42,0.08,0.03,1788,1666,1668,1507,1938,1740,1473,1510,1455,1535,1627,2171
Tripura,38,5,0,0,28,3,0,2,0,0,0,0,0,3,0,0,35,9,0,3,0,0,17,2,0,1,2,0,0,0,0,4,0,0,9,1,0,32,2,0,1,139,15,13,5,4,0,0,0,0,0,2,2,8,0,161,27,0,174,14,152,3,0,0,0,2,0,1,0,0,30,153,26,9,155,26,4,0,3,498,36,23,13,460,27,29,5,0,2,0,5,105,15,61,150,122,150,132,70,16,15,0,0,1.3,0,0,65,74,81,63,72,46,64,53,54,60,38,46
Uttarakhand,67,20,1,0,39,4,0,30,4,0,29,0,0,22,1,0,271,45,0,16,0,0,133,2,0,27,1,0,22,0,0,25,1,0,20,0,0,154,46,0,0,702,48,18,26,8,1,0,0,4,0,12,30,29,1,487,275,116,676,202,495,215,0,35,13,17,0,3,0,35,65,660,121,97,703,54,54,57,10,613,728,250,6,282,93,197,155,46,32,35,27,111,182,189,218,239,268,225,119,64,88,98,36,1448.9,0.07,0.02,58,43,65,64,77,62,61,72,69,83,76,71
Uttar Pradesh,1629,657,106,0,3740,1078,0,243,49,0,124,15,0,279,62,0,4745,479,0,399,49,1,1758,333,3,188,33,0,160,19,0,424,60,0,196,41,0,2642,520,4,718,5865,860,723,1205,1113,204,116,79,514,301,840,992,3475,774,9108,3549,3630,12264,4023,7662,1177,1275,801,365,261,130,431,313,1753,2119,9875,3398,3014,8410,2672,2571,1427,1207,27960,4627,3025,2403,6423,2253,1786,916,803,1007,699,1505,2832,4486,3724,4417,4968,4780,4378,3704,2435,2628,719,315,11565.39,0.06,0.03,2550,2311,2217,2067,2265,2209,2086,2017,1824,2023,2170,2325
West Bengal,259,126,30,0,708,98,0,31,4,0,50,7,0,168,11,0,2543,388,0,181,14,0,636,75,0,62,7,0,119,12,0,84,5,0,376,39,0,808,123,0,462,2187,650,213,506,652,35,64,15,63,90,256,152,992,300,2152,2599,1124,4038,1837,1768,449,130,456,122,234,22,159,16,103,2416,4452,834,589,4776,369,272,142,316,8946,1937,2697,413,2906,955,550,350,240,480,260,295,972,1773,1529,2431,1790,1883,1741,1373,966,1162,408,33,1018.78,1.36,0.1,1516,1398,1473,1385,1527,1439,1416,1356,1391,1395,1415,1394
Andaman & Nicobar Islands,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,1,104.7,0.07,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chandigarh,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,131,0,131,0,0,0,0,0,0,0,0,0,0,131,0,0,131,0,0,0,0,NA,NA,NA,8,157,25,28,20,0,18,7,11,22,0,45,46,53,48,79,63,26,9,111,4,335.68,0.33,0.01,35,22,31,40,32,25,22,32,38,31,28,30
Dadra & Nagar Haveli,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Daman & Diu,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,0,0,1,0,0,0,0,0,0,0,0,0,-1,15,0,0,14,1,15,0,0,0,0,0,0,0,0,0,0,13,2,0,15,0,0,0,0,64,0,7,7,13,1,1,0,0,1,1,3,0,8,4,4,6,8,12,3,2,0,-1,-1,-1,-1,-1,6,4,3,3,2,2,0,5,1,5,2,6
Delhi ,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,38,2870.98,0.06,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Lakshadweep,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,0,0
Puducherry,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,68,0,9,10,15,0,0,11,0,0,16,7,15,0,145,6,0,138,13,135,2,0,0,0,0,4,0,0,4,6,137,10,4,149,2,0,0,0,1279,124,363,5,1028,7,69,19,2,15,4,7,20,8,115,155,178,203,251,139,29,41,-1,-1,-1,-1,-1,44,64,65,46,59,57,60,58,62,75,44,37
All India,9858,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2733,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16298,240463,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
